Hour,Consumption Sma (kWh/h),Consumption Saft (kWh/h),Turbine Production (kWh/h),DH plant Consumption (kWh/h),FCR-N (EUR/MW),FCR-N (MW),FCR-D up (EUR/MW),FCR-D up (MW),FCR-D down (EUR/MW),FCR-D down (MW),Irradiance (Wh/m2),Day Ahead (EUR/MWh)
2023-01-21 13:00:00,163.869,2467.9719999999998,3771.3199999999997,577.384,41.3040161686747,0.0,48.722532985025,5.5,16.8582476758893,2.9,119.56348939444331,131.06
2023-01-21 14:00:00,169.69600000000003,2631.6169999999997,3771.0879999999997,586.5839999999998,41.6617663453815,0.0,47.130398608985,5.5,16.8145986363636,2.9,42.56919266485347,131.22
2023-01-21 15:00:00,163.586,2655.3569999999995,3783.128,570.9840000000004,41.7211524615385,0.0,47.1269025607321,5.5,14.7896878938992,2.6,0.0,132.64
2023-01-21 16:00:00,175.206,2689.002,3756.968,566.1199999999999,41.2641563373494,0.0,47.167673,5.5,14.6476660538827,2.6,0.0,140.76
2023-01-21 17:00:00,181.613,2549.114,3768.5679999999998,575.4079999999999,41.3385370682731,0.0,46.5659564491907,5.5,14.5177149520767,2.6,0.0,173.92
2023-01-21 18:00:00,180.86800000000002,2299.8129999999996,3770.432,585.7919999999999,41.1694774337349,0.0,47.3258356904603,5.5,17.3808782436709,2.6,0.0,174.6
2023-01-21 19:00:00,171.83100000000002,2386.3769999999995,3755.848,589.5280000000002,40.7763786746988,0.0,46.0283134292845,5.5,17.74680340729,2.6,0.0,140.08
2023-01-21 20:00:00,159.524,2360.341,3770.7039999999997,574.04,41.5305898967742,0.0,45.2611812712146,5.5,17.8104224604317,2.5,0.0,134.51
2023-01-21 21:00:00,159.72299999999998,2333.671,3770.752,582.5279999999998,41.5816074698795,0.0,45.1170693311148,5.5,21.95276997998,2.9,0.0,129.34
2023-01-21 22:00:00,158.22000000000003,2378.5089999999996,3755.352,573.6799999999998,42.2967013253012,0.0,45.0627476589018,5.5,21.807753201581,2.9,0.0,107.87
2023-01-21 23:00:00,155.207,2385.587,3751.1440000000002,568.8480000000004,42.4722762650602,0.0,44.8525163460898,5.5,22.4988243952569,2.9,0.0,89.92
2023-01-22 00:00:00,154.08599999999998,2015.6290000000001,3771.264,585.5440000000003,42.7548703137255,0.0,42.1425541775984,5.5,35.9528020039526,2.9,0.0,79.4
2023-01-22 01:00:00,155.17,1951.5739999999996,3771.3759999999997,578.0079999999998,42.9730873276198,0.0,41.8367013186441,5.5,34.7295434265734,2.8,0.0,79.17
2023-01-22 02:00:00,156.696,1917.2259999999999,3756.1279999999997,588.6879999999996,42.8571792666924,0.0,41.5293629372881,5.5,34.7962478593629,2.8,0.0,73.06
2023-01-22 03:00:00,156.349,1844.764,3742.272,580.3919999999998,42.8440658114374,0.0,41.7618452338983,5.4,34.145266993007,2.8,0.0,71.45
2023-01-22 04:00:00,158.66699999999997,1921.661,3755.0000000000005,597.5200000000004,42.6209611909335,0.0,41.9288046440678,5.4,34.3633887567988,2.8,0.0,70.01
2023-01-22 05:00:00,163.415,1911.203,3752.7839999999997,607.4639999999999,42.3988756349206,0.0,41.5880657864407,5.5,32.3430731667317,2.9,0.0,62.59
2023-01-22 06:00:00,163.961,1854.3709999999996,3771.9519999999998,605.96,41.2871388690476,1.4,42.2978108035714,5.5,18.8309110079051,2.8,0.0,61.42
2023-01-22 07:00:00,164.774,1904.0769999999998,3771.8879999999995,604.1519999999996,40.73435037751,0.0,42.3837961354447,5.5,18.4067980948617,2.9,0.0,64.92
2023-01-22 08:00:00,152.929,2118.513,3771.0559999999996,589.2799999999997,40.4714493574297,0.0,42.9967455677224,5.5,17.9727678735178,2.9,31.09667232096953,86.01
